board,from,to,results
1B6/2p4p/4k3/1pP1r3/1P6/P6P/3r1p2/K1R2Rb1 w - - 2 33,51,11,1.0
1k1rqb1r/1pp2bp1/pnn5/3pp2p/3P2P1/PNN1P1BP/1PP5/1K1RQB1R w - - 0 18,45,36,1.0
rnbr2k1/1p1nppbp/6p1/p1P1N3/2p5/6P1/PP2PPBP/RNB2RK1 w - - 2 11,45,51,0.0
r3r1k1/1p3p1p/1q2n1p1/p2Qp3/4P3/1P3B2/P4PPP/2R1R1K1 w - - 2 26,34,44,1.0
2rk3r/pp3n2/2pb1p2/3p1n1p/3P4/5P1N/PPP1N2P/R1BK3R w Qkq - 4 16,61,43,1.0
2r1k2r/5p2/p3p3/1pb1P3/3N1Ppp/6P1/PPP3bP/2KR2R1 w k - 0 24,49,14,0.0
2r3k1/pb3pp1/1p1p4/1B2p1q1/1P2P2p/P4RP1/2r2P1P/3QR1K1 w - - 1 32,60,58,-1.0
1kr1qb1r/ppp2ppp/4bn2/3p2B1/8/2N2P2/PPP1PP1P/1KR1QB1R w - - 3 8,59,57,0.0
1nr5/kb4pp/p6r/P1NNp3/2P1P3/4K3/1R4PP/8 w - - 0 38,42,49,-1.0
r2rbk2/2p1bppp/p1n1pn2/1p6/8/2NBPP2/PPPBKNPP/R6R w - - 0 15,49,33,1.0
8/5p2/4p3/p2p1k1p/R2P1P1P/3R1K2/1r3P2/4b3 w - - 9 41,25,4,1.0
1r3r1k/4R1b1/p2p3p/6p1/b2P1p2/P4N1P/1P3PPB/2R3K1 w - - 0 30,42,24,0.0
r1bq1rk1/pp1nbpp1/2pp3p/4p3/P1B1P3/2PP1NP1/1P1N1PP1/R2QR1K1 w - - 0 14,50,42,0.0
rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,51,35,-1.0
1k2r2r/1ppb1qbp/p2p1np1/4n3/3N4/P1N1BP1P/1PP2QP1/1K1R1B1R w - - 2 16,44,51,1.0
3B4/8/pp6/2b5/1kp1R1P1/8/6r1/1K6 w - - 7 52,33,25,1.0
2rr2k1/pp5p/1q2ppp1/8/3P3P/8/PP1RQPP1/4R1K1 w - - 0 29,52,45,1.0
2bk1r2/1pp3Np/2np4/3r4/1p1P4/1P6/PBP4q/1KR1Q1R1 w - - 0 22,32,35,-1.0
1k2rq1r/1bppn2p/p1n2b2/1p1Bpp2/4P3/1PN2PQ1/PBPPN2P/1K1R2R1 w - - 6 15,54,45,0.0
1kbr1q1r/1pp1bp2/2n2p2/p3pP1p/P2pP3/1NPP1N2/1P2BQPP/R3RK2 w - - 0 16,48,32,0.0
r7/8/3p2p1/1k6/1p3PP1/1P1K4/2N2B2/8 w - - 1 48,42,33,-1.0
1k2r3/1pp4p/5p1p/p7/8/1B1P2P1/PrPK2P1/R7 w - - 0 25,48,32,1.0
8/5Qbk/3p1qpp/3P4/7P/6P1/5PK1/8 w - - 3 42,0,45,-1.0
1krnq2r/1pp5/1b2pp2/pP1p1npp/P2Pb3/1N2PN1P/2PQ1PPB/R2K1B1R w kq - 0 16,54,38,0.0
1knrr3/1pp3p1/p1q2pb1/3pp2p/PQ1P3P/1PN1PP2/1KP1N1P1/2R4R w - - 1 19,41,58,0.0
7r/1kp2pp1/p1n2n2/1p5p/1P1p1B1P/1P1N1P2/1KP3P1/4R3 w - - 5 30,58,49,-1.0
8/6R1/2kb2pr/3p4/p1pP4/PpP1PKp1/1P6/6B1 w - - 0 37,25,17,1.0
kr6/8/2n3p1/2P5/5P1p/2B1p1rP/N1P1R1P1/K7 w - - 0 41,28,20,1.0
8/3k4/8/3pR3/K2P4/8/2p5/8 w - - 0 75,18,10,1.0
k5r1/p7/2N4p/8/3p1q2/BP6/P5BP/K6R w - - 1 31,58,62,0.0
1kr4r/ppp2R1p/8/4q3/3pnN2/3B1b2/PPPQ1P1P/1KR5 w - - 3 16,45,28,1.0
1r5r/1ppk4/3p1p2/p1nPpP2/2P3P1/PP2RPKp/2B5/7R w - - 3 39,56,57,0.0
rnb1kb1r/1pqp1ppp/p3pn2/8/3NP3/2N5/PPP1BPPP/R1BQK2R w KQkq - 4 7,59,50,-1.0
kr1r4/n7/1qpp3p/4p1p1/2B1N3/Q1P1nP1P/1P1R2P1/1K2R3 w - - 5 35,35,20,-1.0
8/2p5/8/6Rp/P1pk3P/1r6/4K3/8 w - - 0 48,34,26,0.0
r1q2rk1/ppp2pbp/2n1bnp1/4p1B1/2P5/2N3P1/PP1NPPBP/R2Q1RK1 w - - 4 11,59,58,0.0
4Q3/q5kn/8/5p2/Pp1p4/5PP1/P1p3BP/7K w - - 1 40,63,54,-1.0
4b1B1/1p5p/2k3p1/P5P1/2K4P/8/8/8 w - - 33 71,43,42,-1.0
8/p7/1p4b1/1kp5/7R/P1KN2rp/2PP4/8 w - - 1 50,32,33,1.0
1k6/p5pp/5p2/2pr4/8/2K3P1/PP4PP/7R w - - 0 27,59,35,0.0
8/1k6/5R2/8/3Kb3/P2r4/8/8 w - - 0 55,20,19,0.0
8/8/rp2p1p1/2pk3p/8/1R2K1P1/1P5P/8 w - - 6 40,36,35,0.0
7k/6p1/4Rp1p/2p5/p3PP2/2P5/Pr3K1P/8 w - - 2 42,1,9,-1.0
rn2k2r/pp3ppp/2p1p3/3nP3/1q2BP2/8/PPP1Q1PP/R1B1K2R w KQkq - 3 14,41,25,-1.0
rnbkqb1r/ppp2ppp/5n2/3pp3/4P3/5P2/PPPP2PP/RNBKQBNR w KQkq - 0 3,52,36,0.0
4n3/2k5/1R1p4/2p3p1/P1PpPp1p/3P1P1P/6P1/K7 w - - 1 42,58,50,-1.0
1k1r1rb1/pppn2p1/3q3p/4p3/1P1nP3/P2P1N1P/1Q3RP1/1KNB3R w - - 7 24,42,27,0.0
1r1b1rk1/4qp2/p2p2pp/2p1p2n/4P2N/PbN3PP/1P1Q1PBK/1R1R4 w - - 2 26,26,17,-1.0
1k6/8/1Pp3p1/r1P3P1/2R1p2p/3p3P/2K5/8 w - - 0 50,27,19,-1.0
r5k1/pp3p1p/1np3p1/4r1N1/4P3/P7/1P3PPP/2R1R1K1 w - - 0 23,60,36,-1.0
4k3/2n3QN/1p1q3p/p1p4P/P1K2P2/1PP3P1/8/8 w - - 1 49,52,60,1.0
r2r2k1/1pqb1ppp/p1n1p3/8/NP2P1n1/PB3NP1/1b2QP1P/2R2RK1 w - - 0 19,45,9,1.0
1k2r2r/pb2q1p1/1p3n2/2ppp1Np/3n3P/2NP1PPB/PPPQ4/1KR2R2 w - - 0 16,50,34,-1.0
rnbkqbnr/pppp1ppp/8/4p3/8/8/PPPPPPPP/RNBKQBNR w KQkq - 0 1,52,36,0.0
1k5r/1pp1r2p/pn1pNqp1/3P1p2/P1n2P2/2NQ4/1PP3PP/1KR4R w - - 1 21,51,52,0.0
2rr2k1/pb4pp/3q1n2/2pp1p2/4n3/3NPNP1/PPQ2PBP/2RR2K1 w - - 5 19,51,45,1.0
r1bqr1k1/1p1nppbp/2p2np1/1P1p4/p2P4/B3PN2/P1PNBPPP/R2Q1RK1 w - - 2 11,57,51,0.0
r2qrnk1/pp2bbpp/2p2p2/3n4/3PN3/P2Q1N1P/1PB2PP1/R1B1R1K1 w - - 2 18,44,53,0.0
3nq1r1/kb2b3/pp2pn2/2r2p1p/5N1P/3NP1P1/PB2B3/K1R1Q1R1 w - - 0 27,50,34,-1.0
r1bkqbnr/ppp2ppp/2n5/3pp3/5P2/4P3/PPPP2PP/RNBKQBNR w KQkq - 0 3,52,36,-1.0
2q5/r1p2pbk/2bp1npp/1p6/1P1BP3/1NPB1P1P/6P1/Q5K1 w - - 0 28,56,48,0.0
r2kqbnr/ppp1p1pp/2n2p2/3p3b/3P4/1P3N1P/P1P1PPP1/RNBKQB1R w KQkq - 1 5,30,39,0.0
r2kqb1r/p1p2ppp/2n1pn2/1p1p3b/3P4/2N1BN1P/PPP1PPP1/1KR1QB1R w KQ - 0 7,49,33,1.0
8/2k5/pn1p4/1p6/3Q4/1P6/P1q4P/K5R1 w - - 1 44,26,41,-1.0
1r1k3r/pp2b1p1/4b2p/4Pp1n/q2p1P1Q/3P3P/P1PBN1B1/R2K3R w Qkq - 2 18,34,52,-1.0
r4rk1/1b3ppp/p3pn2/5q2/P7/1P1pP2Q/6PP/B4RK1 w - - 0 24,36,37,-1.0
8/p6p/1pp2np1/4kb2/1PP5/1N4P1/P2KB2P/8 w - - 2 31,28,37,0.0
8/8/1p6/pN6/2k5/8/PP6/5K2 w - - 0 54,19,26,1.0
r1b5/1p1pnk2/p5p1/3p3p/5N1P/3B4/PPP2PP1/4rK1R w - - 0 27,44,4,1.0
rnbkqbnr/ppp1pppp/8/3p4/8/8/PPPPPPPP/RNBKQBNR w KQkq - 0 1,51,35,0.0
1kr5/pp1b3p/5q2/2p5/3prP2/1PP3P1/PK1Q3P/2R2B1R w - - 0 20,35,27,-1.0
8/8/8/P7/Pb5R/1k5p/3K3P/4B1r1 w - - 1 57,34,25,0.0
1k2r2r/1ppb2pp/p1nb1n2/8/B3P2N/2N4P/PPPB2P1/1KR1q2R w - - 0 16,22,4,0.0
rnbqkb1r/pp1ppppp/5n2/2p5/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq - 0 3,50,34,1.0
8/5k1p/2B5/p7/P1N2r2/2n4K/8/8 w - - 5 85,13,29,-1.0
7R/1p5p/1pp1k2r/5n2/8/2P5/PPB2P1P/2K5 w - - 7 32,53,44,0.0
7R/8/k7/P7/PK6/6rP/8/8 w - - 11 66,18,22,0.0
1knrqb1r/ppp3pp/2n1bp2/4p3/3pPP2/1P1P1N2/PBP1N1PP/1KR1QB1R w - - 5 10,52,58,1.0
5rk1/p6p/5qp1/2pp4/8/4P1PB/P1R2P1P/1R4K1 w - - 0 33,42,34,0.0
3k4/7N/2P1b3/2K3p1/p2P1p2/4nP2/6PP/8 w - - 0 43,32,24,1.0
2r3k1/4qpp1/4bn1p/Q7/1P6/2p1PN1P/5PP1/B2R2K1 w - - 0 29,26,18,1.0
3nrqk1/p4p2/2pQ3p/1p1pPB2/6PP/2P5/P1P1R2K/8 w - - 7 34,44,59,0.0
r1bkqbnr/ppp1p1pp/2n5/4pp2/5P2/8/PPPP2PP/RNBKQBNR w KQkq - 0 4,43,36,1.0
3qr1k1/2nn1pbp/pr1p2p1/2pP4/2B1PBP1/2N2P2/RP5P/3Q1R1K w - - 3 22,45,51,-1.0
8/7p/PkPbR3/3B1r2/P2P3n/2B3p1/8/1K6 w - - 4 36,61,37,-1.0
rnbkq2r/ppp2ppp/3p1n2/4p3/2P1P3/2P5/PP3PPP/R1BKQBNR w KQkq - 0 5,51,43,-1.0
8/8/8/8/8/6p1/5kPK/8 w - - 0 69,29,22,1.0
r3k2r/p4pp1/2nqp1p1/1p1p4/2pP4/2P1PPnP/PPQNB1P1/2KRR3 w kq - 0 17,49,33,-1.0
r1qr2k1/1p3pp1/p1bPpn1p/n1p5/2P5/P1P1BN1P/2Q1BPP1/1R1R2K1 w - - 3 19,51,42,-1.0
1k2rr2/pb1pq1pp/1pp2n2/8/4P3/PPN2BbP/2PQ2P1/1KBRR3 w - - 4 20,36,22,0.0
1r1qkb1r/1b3p2/pn2pP2/1p4B1/2pP1Q2/2N5/1P3PPP/R3KB1R w KQk - 2 16,51,41,-1.0
rnb1kb1r/p1pqnppp/1p2p3/3pP3/3P1PQ1/2N2N2/PPP3PP/R1B1KB1R w KQkq - 3 8,62,52,1.0
1rb1k1nr/4ppb1/2pp2p1/p6p/2pPP2P/P1P1BP2/NP1R2P1/1K4NR w k - 0 15,48,32,0.0
r1bkq2r/ppp2ppp/5n2/3pn3/1b6/2N1PN2/PPPP2PP/R1BKQB1R w KQkq - 2 6,61,25,1.0
1r5k/1p1R4/p4qp1/3Qb2p/P1B1p3/1PP3p1/5PKP/8 w - - 0 43,29,22,1.0
4b1qk/4b2n/r6p/3pP3/2pP1PP1/2P3N1/p1B5/R2Q3K w - - 0 55,16,8,1.0
1k6/8/1p4R1/p2r1p1p/2r4P/2n1PP2/2P3P1/2K1R3 w - - 3 32,33,35,1.0
6k1/5pp1/1p2r1np/8/1P1P2P1/qb5P/2RB2Q1/3KR3 w - - 6 37,8,17,1.0
r2qnrk1/ppp2ppp/3p4/2bP4/8/2Nb4/PPP2PPP/R1BQR1K1 w - - 0 14,37,19,0.0
rnbkqbnr/ppp1pppp/8/3p4/8/8/PPPPPPPP/RNBKQBNR w KQkq - 0 1,51,35,1.0
5r2/8/8/3p1k2/7p/2B1P2P/5PK1/8 w - - 30 66,46,37,0.0
4r2k/pp4p1/2np1r1p/3B1b2/5P2/P3B3/1P3P1P/3RK1R1 w - - 0 24,55,47,0.0
1kr1qbnr/pppb3p/2np2p1/4pp2/5P2/1PN1P3/PBPP2PP/1KR1QBNR w - - 0 7,54,46,0.0
6r1/pkp4p/1pNp4/1PnPprPP/6R1/P7/6P1/1K1R4 w - - 3 32,61,37,0.0
r2n3r/pp1kbppp/3p4/3Pp3/3P4/1P2B1P1/P3NP1P/R3K2R w KQ - 0 17,60,51,-1.0
r1bk3r/1pp1b1pp/p4p2/3n4/3NNP2/1PP1B2P/1P4P1/R2KR3 w KQk - 1 17,41,35,-1.0
3qr1k1/pr2n2p/1p1p2pn/2pP1p2/P4PP1/1P2N3/1Q2P2P/3RNRK1 w - - 1 22,53,47,-1.0
r1bqk2r/2p1bppp/p4n2/2p1p3/8/2NQ1N2/PPP2PPP/R1B1K2R w KQkq - 0 11,43,36,0.0
1k5r/pppq3p/1b3p1n/1P2r3/2QpP1pN/B2P4/P1P3PP/1R2RK2 w - - 1 21,60,36,1.0
r2q1rk1/pbp2ppp/1p1b4/n2pN3/3P1B2/2P3P1/P3PPBP/2RQR1K1 w - - 3 14,52,43,1.0
r4rk1/3R2pp/1p2p3/5p2/3N4/P3P1P1/1b2P1bP/4R1K1 w - - 0 21,28,14,0.0
8/1p1r1pp1/p1p3k1/P3R1Pp/1P3K2/3P4/2P2B2/3b4 w - - 1 35,30,3,1.0
1kr1q2r/p1p1b1pp/1pb1p3/3p4/3PpP2/8/PPP1P1PP/1KBRQB1R w - - 0 12,51,35,-1.0
r4q2/1k1n4/1np2p2/p2p1N2/1p1P4/PP4QP/1KPN1rP1/R7 w - - 0 31,12,13,-1.0
2R5/1p3pkp/p1p3p1/P7/R6P/3B2b1/1PP1NqK1/8 w - - 5 35,4,13,-1.0
3R4/p1r5/8/3p1k2/1K3n2/P4P2/5P2/8 w - - 7 47,46,37,-1.0
5rk1/pp5p/3p1qp1/P2P1p1P/1P2p3/Q7/2r1BPP1/3NK2R w K - 1 27,58,10,-1.0
1k1q1b1r/p2b2pp/2R5/Np1Pp3/1PnpP3/P2Q4/3BN1PP/1K6 w - - 2 26,41,26,1.0
2r5/1p6/p2Bk3/P3P1p1/1P2R3/4K3/6P1/4n3 w - - 1 42,45,44,1.0
1k1qr2r/1bp3pp/pp1bBn2/4nP2/4p3/PP4N1/1BPPN1PP/1KR1Q2R w - - 4 16,51,59,-1.0
8/8/1p1b1ppk/4p2p/2B3P1/1P5P/P4PK1/8 w - - 0 33,53,45,-1.0
4k3/4b3/4P1R1/p1p2K2/P4B2/1P1r3p/8/8 w - - 1 51,53,60,-1.0
1k3b1r/pppq2p1/8/3p3p/3Br3/6PP/PPPQ1P2/R2K3R w kq - 0 16,60,28,0.0
1kr3q1/p1p5/1pPp4/5p1r/2RNpb1P/8/1P2QP2/K2R4 w - - 0 28,63,39,-1.0
rnbqkbnr/pp1p1ppp/4p3/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,34,27,-1.0
rnbqkbnr/1p1p1ppp/p3p3/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 0 5,48,40,0.0
1kr4r/1bp1nq1p/ppn2bpB/3p1p2/B2P4/2N2P2/PPPQN1PP/1KR4R w - - 2 14,54,45,1.0
4b1k1/5pp1/2p4p/2Pp1P2/3B2P1/7P/nP6/3B2K1 w - - 0 37,2,8,1.0
8/2r2p2/7p/P7/1pBK1k2/1P5P/8/8 w - - 0 51,37,29,1.0
1kr2r2/1bpn1qpp/p7/1pp1pN2/4P3/1PNPQ2P/1PP3PR/R2K4 w k - 4 19,46,53,0.0
8/2k1bp2/2n1p1p1/1p2Pn1p/1P1pR2P/3N2P1/r1NB1P2/2K5 w - - 2 36,51,50,0.0
8/3kpp2/1bRp4/7p/1r6/p5P1/P1R1BrKP/8 w - - 6 40,37,13,-1.0
rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,51,43,-1.0
8/6pk/pR6/3p1R2/3P1p1r/5P2/8/r5K1 w - - 12 42,8,0,0.0
r1bqk2r/3n1pb1/1pp3pp/p1p1p3/P3P3/2NPBN1P/1PPQ1PP1/R4RK1 w kq - 0 12,48,32,0.0
1k1r4/pp5p/2q1B3/5Pp1/5r2/3PQn1P/PP5R/3K1R2 w - - 3 31,63,59,1.0
8/2k5/2p5/1p6/pP6/P1P3r1/2KR2P1/8 w - - 5 46,41,50,0.0
1k6/ppp5/3pb3/8/3b4/PP1P2p1/K1P1B3/3N4 w - - 0 31,30,22,1.0
1kr1qr2/1ppb3p/p2n1n2/3p1pp1/Pb1N4/2NPP2P/1PP1B1P1/R2KQRB1 w k - 4 16,53,43,0.0
1kr1qrb1/ppp3pp/5n2/2p1p3/3nP1P1/2NP1N1P/PPP1B3/1KR1Q2R w - - 1 13,42,27,1.0
1kr1qr2/pppb2pp/3b1n2/3N1p2/1BBPn3/4PN1P/PP4P1/K1RRQ3 w - - 17 18,62,45,0.0
1kr1qbnr/ppp1pppp/2n5/3p4/5P2/1P3P2/P1PP2PP/RNBKQB1R w kq - 1 5,59,57,1.0
1k6/1pp3pp/p2q4/3rp3/8/P1PP3P/1PK1Q1P1/5R2 w - - 2 27,59,43,0.0
3r4/8/1Pk5/2P1R3/5K2/8/8/8 w - - 17 74,62,59,-1.0
4k2r/1p1q3p/bRn1pp2/2Bp4/6Q1/3P1NP1/5P1P/6K1 w k - 0 27,54,45,0.0
r2kq2r/ppp1b1pp/2npbn2/4ppB1/8/2NP2P1/PPP1PPBP/1KR1Q1NR w KQ - 2 7,58,44,-1.0
1k2r3/1p4p1/7p/2p1Pp1P/pNqP4/2P1R1P1/1P6/2KR4 w - - 0 33,50,34,-1.0
4r3/p3npk1/1p4p1/2pP4/2P2p2/7R/PP3PBP/6K1 w - - 0 31,62,52,-1.0
r6k/2p3bp/1p1pP3/3Pr1qp/5pn1/1Q3B2/PP1B1P2/R3K2R w KQ - 4 25,37,36,-1.0
r1r2k2/p3bp1p/4p3/2p1nbp1/N1P5/1P2BP2/P2RB1PP/R5K1 w - - 2 21,62,61,0.0
r7/p1nk3r/2pNpp2/2P4p/p2P2pP/4R3/1P3PP1/2K1R3 w - - 0 26,33,24,1.0
8/8/1bkp3p/4p3/4P1nP/3K2P1/8/2N2N2 w - - 34 54,32,41,0.0
1kr1q1nr/1ppb2pp/p1np4/2b1pp2/8/1P2PN2/PBPPNPPP/1KR1QB1R w - - 0 8,53,37,1.0
8/8/kp6/4N3/2P1r3/1K6/8/8 w - - 18 68,31,28,1.0
1kr1qbnr/ppp1n1pp/8/3p1p2/3Pp3/PP2P2P/1BPNQPP1/RN1K3R w kq - 1 11,42,52,1.0
1r1q1rk1/1b2bppp/3ppn2/1p6/1P1QPP2/2N3P1/2P3BP/R1B2R1K w - - 1 15,58,49,0.0
1k5r/ppp5/8/3q1n2/3p2Q1/3P2P1/PPP1N2P/1KR5 w - - 1 27,51,35,-1.0
8/5p2/1R5p/3pk3/8/4K1P1/7r/8 w - - 0 47,8,15,-1.0
r6r/1k1q1p2/1ppB2p1/1p1pPb1p/3P1P1P/1P2Q3/PKP5/2R3R1 w - - 0 28,47,39,-1.0
r2kqb1r/pb3ppp/1pn1pn2/2pp4/5P2/1P1PPN2/PBP3PP/RN1KQB1R w KQkq - 1 7,57,42,0.0
r1bkqbnr/pppp1ppp/2n5/4p3/8/2N5/PPPPPPPP/R1BKQBNR w KQkq - 2 2,57,42,0.0
7k/pp2b2p/2n1p3/2p5/4Nr2/2P2P2/PP6/2KB1R2 w - - 1 30,27,42,1.0
1k2q3/p1p5/1p6/6Qp/4pp2/3P3P/PPP2P2/1K6 w - - 0 28,35,28,-1.0
6k1/2p2ppp/2qb4/2r2pPP/pp2rP2/4P3/PPP2RQ1/1KBR4 w - - 7 26,26,28,-1.0
r2kqb1r/ppp2ppb/4p2p/3n3P/1n1P4/2N1BP2/PPP3P1/1KR1QBNR w KQ - 0 10,45,35,1.0
1kr2bnr/p1pp1qpp/1p6/4pP2/8/2NP4/PPPQ1P1P/1KR2B1R w - - 1 11,60,53,0.0
3nqbk1/3p3p/p1b1p1pP/2p1PpN1/2P2B2/P1PB2Q1/5PPK/8 w - - 8 27,52,61,0.0
8/p5B1/1pkpr2p/8/5pP1/3R3P/PPPK4/4b3 w - - 4 34,22,4,0.0
1kr1q1r1/1bp3b1/ppn1p2p/3p2pn/3P1p1P/1PNNPP2/PBP3P1/1K1RQB1R w - - 2 16,45,39,0.0
1k1rqr2/pbp3pp/1p5n/2p2p2/7P/1PN5/PBPPPQ1P/1K2RR2 w - - 1 16,63,61,-1.0
rnb2k1r/ppq1nppp/4p3/2ppP3/3P2QP/P1P5/2P2PP1/R1B1KBNR w KQ - 1 9,59,50,1.0
2r2rk1/pb2bpp1/1p5p/3P4/1n6/q2BBN2/P4PPP/1Q1R1RK1 w - - 1 19,42,25,0.0
3r1k2/ppp2ppp/2q3b1/3n4/3P1BPn/3P3P/PPP1N1Q1/K1R1bB1R w - - 5 17,21,31,0.0
5rk1/1p2qpp1/5np1/p2N4/Pb2P2P/1Q1B4/1P4P1/1Kr4R w - - 0 25,34,2,-1.0
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 4,51,35,0.0
1kr5/1r4pp/3q4/p3p3/1p1nnp2/P2P1P2/1QP3PP/KR1BR3 w - - 0 36,34,28,1.0
8/8/8/5Br1/8/4KR2/6k1/8 w - - 81 134,22,14,0.0
1kr4q/p1p1n1p1/1p1p1p2/4p1nr/1PQ4P/P2PP3/1BP1NP2/1K4RR w - - 1 18,49,57,0.0
1kr2r2/ppp2qbp/2npbnp1/4pp2/4P3/1PNP1PP1/P1PBN1BP/1KR1Q2R w - - 1 11,63,61,-1.0
r1bqk2r/pp1nbppp/2p2n2/3p2B1/3P4/2NBP3/PP3PPP/R2QK1NR w KQkq - 3 8,57,51,0.0
3rr1k1/qp4bp/pN4n1/2P3PB/3pp3/6B1/bP1Q1PP1/2RR2K1 w - - 0 30,53,8,1.0
1k3b2/ppp5/2n5/5NP1/3p4/1P3p2/P1P4P/1KB5 w - - 0 37,28,21,-1.0
8/5pk1/r1q3p1/3p3p/p2R3P/Q1P2PP1/5PK1/8 w - - 13 40,48,40,0.0
2Q2bk1/pp2qp1p/4p1p1/3p1b2/3P4/1P4P1/PB2PPBP/6K1 w - - 1 23,45,52,-1.0
r1b2k1r/pp4p1/2n1pb2/3p3p/1P6/P4N2/1BP2PPP/R3KB1R w KQ - 0 17,59,45,1.0
r1r3k1/2q2pp1/p3p2p/4P3/2pP4/3Q4/5PPP/R1R3K1 w - - 0 26,35,26,-1.0
4q3/1p5k/pN1P2p1/P5P1/2PQ3p/4p3/KP5P/8 w - - 0 57,39,31,1.0
r3r3/ppk5/n1pb1p1p/3p1q2/5Nb1/3P4/PPP2QPP/1KR2BNR w - - 1 16,46,37,-1.0
1r2k3/p4ppp/2p1bn2/3p4/5R2/1PNB2PP/P1P3P1/6K1 w - - 2 20,58,44,0.0
1k1r4/1prn1p1p/pbb3p1/2q3P1/2P1pPB1/4P2P/PBPQ2N1/1K1R2R1 w - - 5 22,52,34,0.0
2r2rk1/1b2n1bp/6p1/pN1pPp2/P1p2P2/1P2q1PB/1BQ4P/2RR2K1 w - - 0 23,41,20,-1.0
2R5/pk1P4/8/1p3B2/5pP1/2p1nP2/3r4/7K w - - 6 47,50,49,-1.0
1k6/pp3p1p/2b2qp1/2R5/3rpP2/1P2P3/P1P2P2/1K2Q3 w - - 0 30,59,27,0.0
r1b1r1k1/1p3pbn/p2p3p/2pPn2P/P3P1pq/2N3N1/1P2BPP1/R1BQR1K1 w - - 1 18,59,31,-1.0
r2kqb1r/pp3ppp/2n1bn2/2ppp3/8/1PN1PP2/PBPP2PP/R2KQBNR w KQkq - 3 6,58,44,1.0
r3rk2/1p3ppp/1qb2n2/3nN3/2BP4/p1N4P/P2P1QP1/K1R2R2 w - - 2 25,59,41,1.0
r2kqbnr/1bpp1ppp/ppn5/1B2p3/4P3/5N2/PPPPQPPP/RNBK3R w KQkq - 0 5,48,40,0.0
8/p7/8/1P2k2p/2K3pP/3P2P1/8/8 w - - 3 58,43,36,-1.0
3rr1k1/1p3p2/6n1/6Q1/pq4P1/3P3P/P1P5/1K1BRR2 w - - 10 31,16,25,0.0
rnbkq2r/ppp3pp/3p1n2/4p3/1b2P3/2N2P2/PPP3PP/R1BKQBNR w KQkq - 0 6,51,43,0.0
1k1rr3/1pp4p/p1n3p1/2Pp2Rn/5p2/1P3P1P/P1P4P/1KBR1B2 w - - 5 21,61,60,0.0
r2qk2r/1b1nbpp1/pp1p3p/2pPp3/PP2P2P/2P1N1P1/4BP1N/R2QK2R w KQkq - 1 17,58,49,1.0
1kr2b1r/ppp2ppp/2q5/8/2n1P3/5P2/PPPBN2P/1KR1QR2 w - - 1 14,36,26,1.0
8/3r1pk1/R6p/p2B1P2/Pb2K3/1P5P/5P2/8 w - - 3 38,18,25,1.0
1Rn5/7k/1b6/4B1p1/1p3pBp/1P5P/P2r1P2/5K2 w - - 8 42,43,11,1.0
4n3/2r1kpb1/4p1pp/1p2N3/5P2/1B2PK1P/1P3P2/R7 w - - 4 35,45,60,0.0
8/p1k5/7K/1p1p2RP/3r4/1P6/P7/8 w - - 0 48,31,27,-1.0
2r5/1p3p1k/p4npb/3p4/4p2P/2N3R1/PPP2q2/1K1Q2R1 w - - 0 28,37,13,1.0
r4rk1/1ppq2p1/2n1pn1p/p1bpp3/P3P3/1QPP1N2/1P3PPP/R1B1RNK1 w - - 0 13,55,47,0.0
8/2p3k1/4R3/p4r1p/P7/2PK4/8/8 w - - 0 43,41,32,1.0
3R1bk1/p4p1p/p1p1b1p1/2P5/1r3p2/1PN2N1P/P4PP1/6K1 w - - 4 25,28,25,0.0
1k1r4/2p2pp1/p5b1/1p1P4/2p2qP1/P1N2P1p/1PP2Q1P/1K2R3 w - - 1 25,45,29,0.0
4b3/k6p/P7/R1p3p1/8/3Pb3/1P2P3/3K4 w - - 0 37,46,38,1.0
r1bqk2r/1ppp1ppp/p1n2n2/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQK2R w KQkq - 0 6,48,40,-1.0
r1bkq1nr/ppp3pp/3b4/3pnp2/8/1P3N2/PBPPP1PP/RN1KQB1R w KQkq - 2 6,61,43,1.0
8/1p6/p2k4/P4p1p/1PBK1P1P/6P1/8/3b4 w - - 5 55,21,3,-1.0
1r1r2k1/p4pp1/1pp1q3/Pb2N3/1P1Pp1n1/Q3P1Pp/2R2P1P/2R3KB w - - 2 29,45,30,-1.0
8/3R2P1/1p6/1kp5/p7/P7/1PP5/1K4r1 w - - 7 52,14,6,0.0
2r5/rk1nq1pp/4p3/1p1pPp1P/1PpP4/Pb2PB2/1K1QN1P1/R6R w - - 0 27,41,33,1.0
r1bk3r/ppppbqp1/2n2n1p/4ppB1/8/2NPP3/PPPQ1PPP/1KR2BNR w KQ - 0 7,55,47,-1.0
8/k7/8/pB1n4/P7/8/KP6/8 w - - 0 64,52,35,0.0
